                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6395,                 3.5892,                 1.6985,                0.30382,                 0.5875,                0.27764,                0.09934,                 2.2004,                 2.5078,                 1.3791,             0.00066364,             0.00066364,             0.00066364
                      2,                 2.1478,                 2.0859,                 1.4161,                0.39296,                 0.4375,                0.39283,                0.15385,                 2.2356,                 1.9709,                 1.3922,              0.0013237,              0.0013237,              0.0013237
                      3,                 2.0494,                 1.6877,                 1.3807,                0.56024,                 0.6375,                0.61862,                0.23629,                 1.9518,                 1.6525,                 1.3169,              0.0019772,              0.0019772,              0.0019772
                      4,                 2.0299,                 1.6012,                 1.3585,                0.60738,                 0.7375,                0.63766,                0.25998,                 1.9209,                  1.317,                 1.2548,              0.0019703,              0.0019703,              0.0019703
                      5,                  1.943,                 1.4979,                 1.3031,                0.68071,                  0.775,                0.75762,                0.29649,                 1.8103,                  1.311,                 1.2111,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.9041,                  1.464,                 1.3078,                0.69669,                0.77524,                0.73818,                0.30629,                 1.8272,                 1.1935,                 1.2878,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.8661,                 1.3866,                 1.2987,                0.51235,                0.66982,                0.55301,                0.24792,                 1.8576,                 1.3189,                 1.2506,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.7978,                 1.3512,                 1.2675,                0.75708,                    0.7,                0.78185,                0.37187,                 1.6944,                 1.1437,                  1.191,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.7708,                 1.3186,                  1.253,                0.76298,                  0.725,                0.73993,                0.31827,                 1.7362,                  1.194,                 1.2267,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7365,                 1.3064,                 1.2319,                 0.6793,                 0.7875,                0.76335,                0.34633,                 1.6744,                 1.1503,                 1.1879,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.6859,                 1.2482,                 1.2238,                0.53363,                 0.7625,                0.59411,                0.26204,                 1.8782,                 1.2187,                 1.2158,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.7187,                 1.2589,                 1.2211,                0.70794,                 0.7625,                0.76126,                0.39297,                 1.5883,                  1.042,                 1.1308,               0.001901,               0.001901,               0.001901
                     13,                 1.6678,                 1.2216,                 1.2105,                0.82136,                0.80464,                0.84337,                0.39329,                 1.6467,                  1.082,                 1.1812,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.6483,                  1.188,                 1.1876,                0.89655,                0.86672,                0.91119,                0.41718,                 1.5852,                 1.0128,                 1.1096,              0.0018812,              0.0018812,              0.0018812
                     15,                  1.637,                  1.179,                 1.1765,                   0.81,                0.79936,                0.82938,                0.35291,                 1.6637,                 1.1033,                 1.1664,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.6167,                 1.1738,                 1.1654,                0.73884,                0.67194,                0.75077,                0.35864,                 1.6654,                 1.0853,                 1.1692,              0.0018614,              0.0018614,              0.0018614
                     17,                  1.601,                 1.1471,                 1.1674,                0.92469,                 0.8625,                0.91634,                0.45307,                 1.5868,                0.93453,                 1.1338,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.6022,                 1.1509,                 1.1702,                 0.8497,                  0.825,                0.87572,                0.42763,                 1.6099,                 1.0433,                  1.162,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5917,                 1.1444,                 1.1536,                0.85897,                 0.7625,                0.84343,                 0.4011,                 1.5853,                 1.0548,                   1.12,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.5421,                 1.1178,                 1.1312,                0.82788,                0.78166,                0.84182,                0.42273,                 1.5831,                0.98824,                 1.1454,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.5388,                 1.1309,                 1.1227,                0.87465,                 0.8625,                0.88445,                0.41476,                 1.6005,                0.99707,                 1.1468,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.5321,                 1.0808,                 1.1352,                0.89313,                 0.8875,                0.93741,                0.41963,                 1.6198,                0.97753,                 1.1233,               0.001802,               0.001802,               0.001802
                     23,                 1.5025,                 1.0656,                 1.1184,                0.82331,                 0.8375,                0.84504,                0.37162,                 1.6732,                 1.0552,                 1.1682,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5225,                  1.052,                  1.133,                0.85522,                  0.825,                0.87834,                0.41767,                 1.6514,                 0.9865,                 1.1477,              0.0017822,              0.0017822,              0.0017822
                     25,                  1.513,                 1.0529,                 1.1215,                 0.6776,                0.78815,                0.73249,                0.32803,                  1.792,                 1.1261,                 1.2059,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.4891,                 1.0459,                 1.1101,                0.80776,                0.84041,                 0.8599,                0.42539,                 1.5399,                 1.0075,                 1.1019,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4996,                 1.0373,                 1.1052,                0.93254,                  0.864,                0.91806,                0.43848,                 1.5414,                0.90285,                 1.1236,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.4704,                 1.0289,                 1.0913,                 0.8857,                0.87176,                0.89588,                0.47369,                 1.5223,                0.90647,                 1.0821,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.4706,                 1.0166,                 1.0905,                0.91592,                0.81702,                0.87692,                0.43024,                 1.6059,                 0.9994,                 1.1599,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.4606,                 1.0144,                 1.0894,                0.91858,                 0.9125,                0.91768,                0.45446,                 1.5441,                0.89051,                 1.1447,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.4662,                0.99972,                 1.0888,                0.87479,                  0.825,                0.86784,                0.44215,                 1.5484,                0.95783,                  1.125,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.4378,                0.99989,                  1.089,                0.95816,                0.85876,                0.91458,                0.46361,                   1.55,                0.95871,                 1.1211,               0.001703,               0.001703,               0.001703
                     33,                 1.4174,                0.97716,                  1.076,                0.82308,                 0.7875,                0.81017,                0.35148,                 1.7426,                 1.0378,                 1.1674,              0.0016931,              0.0016931,              0.0016931
                     34,                  1.443,                0.99027,                 1.0764,                0.93526,                 0.9029,                0.93784,                0.46578,                  1.558,                0.90869,                 1.1077,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4177,                 0.9605,                  1.077,                0.94772,                 0.9125,                0.92825,                0.46591,                 1.5519,                0.94279,                 1.0967,              0.0016733,              0.0016733,              0.0016733
