                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,2.1767,2.1878,1.2028,0.69096,0.70511,0.6779,0.30038,1.6736,1.2192,1.0109,0.00066631,0.00066631,0.00066631
2,1.7364,1.2635,1.0367,0.64339,0.67099,0.63791,0.28155,1.6108,1.1958,0.98212,0.001201,0.001201,0.001201
3,1.638,1.1639,1.0093,0.81685,0.76064,0.80638,0.36646,1.5434,1.0589,0.96916,0.0016037,0.0016037,0.0016037
4,1.5651,1.1043,0.986,0.76706,0.77146,0.81298,0.39673,1.4413,1.0942,0.94133,0.001406,0.001406,0.001406
5,1.5208,1.0727,0.97333,0.82797,0.83008,0.86399,0.43184,1.3916,0.97808,0.93242,0.001406,0.001406,0.001406
6,1.4581,1.0153,0.96066,0.85569,0.82727,0.86443,0.43897,1.3546,0.95315,0.9283,0.001208,0.001208,0.001208
7,1.4127,0.97177,0.94313,0.88104,0.85915,0.89044,0.45116,1.3617,0.94681,0.91741,0.00101,0.00101,0.00101
8,1.3683,0.93437,0.93493,0.89032,0.87646,0.91648,0.51205,1.273,0.88667,0.90619,0.000812,0.000812,0.000812
9,1.3156,0.89028,0.92059,0.92799,0.919,0.9394,0.54743,1.245,0.81194,0.89988,0.000614,0.000614,0.000614
10,1.2649,0.84546,0.91308,0.93225,0.91873,0.94408,0.56581,1.2263,0.78291,0.89807,0.000416,0.000416,0.000416
