                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2503,                 2.1634,                 1.1852,                0.54573,                0.64744,                0.53276,                0.21014,                 1.7795,                 1.3441,                 1.0366,             0.00066631,             0.00066631,             0.00066631
                      2,                 1.8548,                 1.3099,                 1.0431,                0.58938,                0.67427,                0.59223,                0.24768,                 1.6331,                 1.2052,                0.99254,               0.001267,               0.001267,               0.001267
                      3,                 1.7604,                 1.2244,                 1.0193,                0.72025,                0.73816,                0.73884,                0.32751,                 1.5742,                 1.1307,                0.97897,              0.0018017,              0.0018017,              0.0018017
                      4,                 1.6945,                 1.1721,                0.99837,                0.80485,                0.77763,                0.81155,                0.38501,                 1.5116,                 1.0498,                0.97023,               0.001703,               0.001703,               0.001703
                      5,                 1.6466,                 1.1215,                 0.9867,                0.71907,                0.75821,                0.72117,                 0.3263,                 1.5475,                 1.0983,                0.97216,               0.001703,               0.001703,               0.001703
                      6,                 1.6049,                 1.0943,                0.97109,                0.81452,                0.82084,                0.81982,                0.39345,                 1.4498,                 1.0288,                0.95035,               0.001604,               0.001604,               0.001604
                      7,                 1.5541,                 1.0589,                0.96272,                0.85639,                0.85376,                0.87973,                0.45144,                 1.3849,                 0.9764,                0.93672,               0.001505,               0.001505,               0.001505
                      8,                 1.5276,                 1.0227,                0.95377,                0.83252,                0.83601,                0.86467,                0.43136,                  1.381,                0.99672,                 0.9352,               0.001406,               0.001406,               0.001406
                      9,                 1.5023,                 1.0023,                0.95075,                0.86987,                0.85322,                0.88973,                0.46224,                 1.4092,                 0.9602,                0.93597,               0.001307,               0.001307,               0.001307
                     10,                 1.4686,                0.96135,                0.94287,                0.87147,                0.83734,                0.88084,                0.45746,                 1.4361,                0.95441,                0.94221,               0.001208,               0.001208,               0.001208
                     11,                 1.3796,                0.94505,                 0.9461,                0.89289,                0.87106,                0.90788,                0.47881,                 1.3334,                 0.9098,                 0.9186,               0.001109,               0.001109,               0.001109
                     12,                 1.3437,                0.90343,                0.93736,                0.92011,                0.89617,                0.93157,                0.52609,                  1.337,                0.83566,                0.92246,                0.00101,                0.00101,                0.00101
                     13,                 1.3132,                0.87091,                0.92511,                0.91526,                0.88731,                0.92932,                 0.5325,                 1.2836,                0.83206,                0.91651,               0.000911,               0.000911,               0.000911
                     14,                 1.2795,                0.83734,                0.92311,                0.91552,                0.87958,                0.93242,                0.52796,                 1.3383,                0.85626,                0.92043,               0.000812,               0.000812,               0.000812
                     15,                 1.2538,                 0.8008,                0.91413,                0.93847,                0.90816,                 0.9501,                0.55961,                 1.2676,                0.78433,                0.90633,               0.000713,               0.000713,               0.000713
                     16,                   1.22,                0.76684,                0.90893,                 0.9411,                0.93324,                 0.9575,                0.57213,                 1.3175,                0.76469,                0.91622,               0.000614,               0.000614,               0.000614
                     17,                 1.1961,                0.74532,                0.90367,                0.95148,                 0.9341,                0.96103,                0.59409,                 1.2248,                 0.7052,                0.89928,               0.000515,               0.000515,               0.000515
                     18,                 1.1657,                0.71039,                0.89677,                0.94614,                0.93304,                0.95642,                0.55459,                 1.3445,                0.75746,                0.91279,               0.000416,               0.000416,               0.000416
                     19,                 1.1379,                0.67513,                0.89117,                0.94758,                0.93431,                0.96457,                0.61007,                 1.2311,                 0.6863,                0.89803,               0.000317,               0.000317,               0.000317
                     20,                 1.1068,                0.65975,                0.88497,                0.95602,                0.94822,                0.96839,                 0.6002,                 1.2798,                0.68009,                0.90479,               0.000218,               0.000218,               0.000218
