                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7335,                 4.0045,                  1.769,                0.34144,                0.37302,                0.30399,                0.10148,                 2.2942,                 2.4015,                 1.5308,             0.00066529,             0.00066529,             0.00066529
                      2,                 2.2281,                 2.2157,                 1.4968,                0.45563,                0.52893,                0.43933,                0.16685,                 2.1151,                 1.7074,                 1.4258,              0.0012001,              0.0012001,              0.0012001
                      3,                 2.0848,                 1.8116,                 1.4296,                0.39908,                0.52083,                0.41357,                0.15856,                 2.0001,                 1.6548,                 1.3634,              0.0016029,              0.0016029,              0.0016029
                      4,                 2.0153,                 1.5897,                 1.4009,                0.49973,                0.61012,                0.53889,                0.21782,                  1.874,                 1.4328,                 1.3264,               0.001406,               0.001406,               0.001406
                      5,                 1.9151,                   1.51,                 1.3596,                0.51044,                 0.5754,                0.52614,                0.22626,                 1.8289,                  1.455,                 1.2868,               0.001406,               0.001406,               0.001406
                      6,                 1.8667,                  1.441,                 1.3218,                0.65063,                0.67618,                0.68747,                0.30484,                 1.7196,                 1.2734,                 1.2274,               0.001208,               0.001208,               0.001208
                      7,                 1.7707,                 1.3644,                 1.2857,                0.67347,                 0.6994,                0.72342,                0.32128,                 1.6899,                 1.2273,                 1.2268,                0.00101,                0.00101,                0.00101
                      8,                 1.7168,                 1.2754,                  1.239,                0.64842,                0.72619,                0.73525,                0.33871,                 1.5768,                 1.1896,                 1.1614,               0.000812,               0.000812,               0.000812
                      9,                 1.6557,                 1.2213,                 1.1984,                0.72213,                0.73115,                0.77324,                 0.3579,                 1.5842,                 1.1208,                 1.1682,               0.000614,               0.000614,               0.000614
                     10,                 1.5687,                 1.1512,                 1.1633,                0.78701,                0.79167,                0.82223,                0.39419,                 1.5161,                 1.0654,                 1.1261,               0.000416,               0.000416,               0.000416
